sample_index,true_gender,true_race,true_secret,true_income,known_features,prior_baseline_prediction,conditional_prior_prediction,lomia_label_only_prediction,targeted_lomia_prediction,fredrikson_confidence_map_prediction,csmia_confidence_prediction,bayes_calibrated_confidence_map_prediction,is_targeted_group,targeted_group_key,query_count,score_query_count,candidate_label_outputs,fredrikson_confidence_outputs,csmia_confidence_outputs,bayes_calibrated_confidence_outputs
0,Male,White,gender=Male,<=50K,"{""age"": ""22"", ""workclass"": ""Private"", ""education"": ""10th"", ""educational-num"": ""6"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""30"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 10th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9738516197884565, ""p_observed"": 0.9869258098942282, ""prior_probability"": 0.3323572474377745, ""score"": 0.9869258098942282}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9250715349746907, ""p_observed"": 0.9625357674873453, ""prior_probability"": 0.6676427525622255, ""score"": 0.9625357674873453}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9738516197884565, ""p_observed"": 0.9869258098942282, ""prior_probability"": 0.3323572474377745, ""score"": 0.9738516197884565}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9250715349746907, ""p_observed"": 0.9625357674873453, ""prior_probability"": 0.6676427525622255, ""score"": 0.9250715349746907}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9738516197884565, ""p_observed"": 0.9869258098942282, ""prior_probability"": 0.3323572474377745, ""score"": -1.127865661397936}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.9250715349746907, ""p_observed"": 0.9625357674873453, ""prior_probability"": 0.6676427525622255, ""score"": -0.4803701550260806}}"
1,Male,White,gender=Male,<=50K,"{""age"": ""73"", ""workclass"": ""Private"", ""education"": ""1st-4th"", ""educational-num"": ""2"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""1735"", ""hours-per-week"": ""20"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 1st-4th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8988032959764064, ""p_observed"": 0.9494016479882033, ""prior_probability"": 0.2535211267605634, ""score"": 0.9494016479882033}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7249551578196445, ""p_observed"": 0.8624775789098221, ""prior_probability"": 0.7464788732394366, ""score"": 0.8624775789098221}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8988032959764064, ""p_observed"": 0.9494016479882033, ""prior_probability"": 0.2535211267605634, ""score"": 0.8988032959764064}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7249551578196445, ""p_observed"": 0.8624775789098221, ""prior_probability"": 0.7464788732394366, ""score"": 0.7249551578196445}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.8988032959764064, ""p_observed"": 0.9494016479882033, ""prior_probability"": 0.2535211267605634, ""score"": -1.476154793236538}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.7249551578196445, ""p_observed"": 0.8624775789098221, ""prior_probability"": 0.7464788732394366, ""score"": -0.5882802152519598}}"
2,Female,White,gender=Female,<=50K,"{""age"": ""20"", ""workclass"": ""Self-emp-not-inc"", ""education"": ""Some-college"", ""educational-num"": ""10"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""25"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | Some-college | Self-emp-not-inc,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9128642175738368, ""p_observed"": 0.9564321087869183, ""prior_probability"": 0.44275132275132273, ""score"": 0.9564321087869183}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8696443844523192, ""p_observed"": 0.9348221922261596, ""prior_probability"": 0.5572486772486772, ""score"": 0.9348221922261596}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9128642175738368, ""p_observed"": 0.9564321087869183, ""prior_probability"": 0.44275132275132273, ""score"": 0.9128642175738368}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.8696443844523192, ""p_observed"": 0.9348221922261596, ""prior_probability"": 0.5572486772486772, ""score"": 0.8696443844523192}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9128642175738368, ""p_observed"": 0.9564321087869183, ""prior_probability"": 0.44275132275132273, ""score"": -0.9038379575658497}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.8696443844523192, ""p_observed"": 0.9348221922261596, ""prior_probability"": 0.5572486772486772, ""score"": -0.7195415534713205}}"
3,Male,White,gender=Male,<=50K,"{""age"": ""41"", ""workclass"": ""Private"", ""education"": ""5th-6th"", ""educational-num"": ""3"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""Mexico""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | 5th-6th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8755938800379671, ""p_observed"": 0.9377969400189834, ""prior_probability"": 0.27547169811320754, ""score"": 0.9377969400189834}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7966216618813317, ""p_observed"": 0.8983108309406657, ""prior_probability"": 0.7245283018867924, ""score"": 0.8983108309406657}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8755938800379671, ""p_observed"": 0.9377969400189834, ""prior_probability"": 0.27547169811320754, ""score"": 0.8755938800379671}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7966216618813317, ""p_observed"": 0.8983108309406657, ""prior_probability"": 0.7245283018867924, ""score"": 0.7966216618813317}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.8755938800379671, ""p_observed"": 0.9377969400189834, ""prior_probability"": 0.27547169811320754, ""score"": -1.4177140553730034}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.7966216618813317, ""p_observed"": 0.8983108309406657, ""prior_probability"": 0.7245283018867924, ""score"": -0.5367127212914867}}"
4,Male,White,gender=Male,<=50K,"{""age"": ""42"", ""workclass"": ""Private"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""1672"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8239207400917037, ""p_observed"": 0.9119603700458517, ""prior_probability"": 0.3531869020347662, ""score"": 0.9119603700458517}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.5710904142163328, ""p_observed"": 0.7855452071081663, ""prior_probability"": 0.6468130979652338, ""score"": 0.7855452071081663}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8239207400917037, ""p_observed"": 0.9119603700458517, ""prior_probability"": 0.3531869020347662, ""score"": 0.8239207400917037}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.5710904142163328, ""p_observed"": 0.7855452071081663, ""prior_probability"": 0.6468130979652338, ""score"": 0.5710904142163328}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.8239207400917037, ""p_observed"": 0.9119603700458517, ""prior_probability"": 0.3531869020347662, ""score"": -1.225075382144819}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.5710904142163328, ""p_observed"": 0.7855452071081663, ""prior_probability"": 0.6468130979652338, ""score"": -0.9184524429282038}}"
5,Male,White,gender=Male,>50K,"{""age"": ""61"", ""workclass"": ""Self-emp-inc"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""35"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,>50K | HS-grad | Self-emp-inc,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.5302717438972229, ""p_observed"": 0.23486412805138862, ""prior_probability"": 0.129565816678153, ""score"": 0.23486412805138862}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.43281628311054265, ""p_observed"": 0.2835918584447288, ""prior_probability"": 0.870434183321847, ""score"": 0.2835918584447288}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.5302717438972229, ""p_observed"": 0.23486412805138862, ""prior_probability"": 0.129565816678153, ""score"": -0.5302717438972229}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.43281628311054265, ""p_observed"": 0.2835918584447288, ""prior_probability"": 0.870434183321847, ""score"": -0.43281628311054265}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": -0.5302717438972229, ""p_observed"": 0.23486412805138862, ""prior_probability"": 0.129565816678153, ""score"": -4.941062511158945}, ""gender=Male"": {""alpha"": 2.0, ""margin"": -0.43281628311054265, ""p_observed"": 0.2835918584447288, ""prior_probability"": 0.870434183321847, ""score"": -2.659201515769733}}"
6,Male,White,gender=Male,<=50K,"{""age"": ""49"", ""workclass"": ""Local-gov"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | HS-grad | Local-gov,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8034944443526112, ""p_observed"": 0.9017472221763054, ""prior_probability"": 0.3531869020347662, ""score"": 0.9017472221763054}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.5271888411540463, ""p_observed"": 0.7635944205770231, ""prior_probability"": 0.6468130979652338, ""score"": 0.7635944205770231}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8034944443526112, ""p_observed"": 0.9017472221763054, ""prior_probability"": 0.3531869020347662, ""score"": 0.8034944443526112}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.5271888411540463, ""p_observed"": 0.7635944205770231, ""prior_probability"": 0.6468130979652338, ""score"": 0.5271888411540463}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.8034944443526112, ""p_observed"": 0.9017472221763054, ""prior_probability"": 0.3531869020347662, ""score"": -1.2475999740150892}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.5271888411540463, ""p_observed"": 0.7635944205770231, ""prior_probability"": 0.6468130979652338, ""score"": -0.9751348888589718}}"
7,Female,White,gender=Female,<=50K,"{""age"": ""45"", ""workclass"": ""Local-gov"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""37"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | HS-grad | Local-gov,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8137992202883925, ""p_observed"": 0.9068996101441961, ""prior_probability"": 0.3531869020347662, ""score"": 0.9068996101441961}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6051048049702235, ""p_observed"": 0.8025524024851117, ""prior_probability"": 0.6468130979652338, ""score"": 0.8025524024851117}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.8137992202883925, ""p_observed"": 0.9068996101441961, ""prior_probability"": 0.3531869020347662, ""score"": 0.8137992202883925}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6051048049702235, ""p_observed"": 0.8025524024851117, ""prior_probability"": 0.6468130979652338, ""score"": 0.6051048049702235}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.8137992202883925, ""p_observed"": 0.9068996101441961, ""prior_probability"": 0.3531869020347662, ""score"": -1.2362049314589196}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.6051048049702235, ""p_observed"": 0.8025524024851117, ""prior_probability"": 0.6468130979652338, ""score"": -0.8756141552001271}}"
8,Male,White,gender=Male,>50K,"{""age"": ""51"", ""workclass"": ""Private"", ""education"": ""Assoc-acdm"", ""educational-num"": ""12"", ""race"": ""White"", ""capital-gain"": ""5178"", ""capital-loss"": ""0"", ""hours-per-week"": ""45"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,>50K | Assoc-acdm | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": "">50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.3571723959299475, ""p_observed"": 0.3214138020350264, ""prior_probability"": 0.19827586206896552, ""score"": 0.3214138020350264}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.44105388222103725, ""p_observed"": 0.7205269411105187, ""prior_probability"": 0.8017241379310345, ""score"": 0.7205269411105187}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.3571723959299475, ""p_observed"": 0.3214138020350264, ""prior_probability"": 0.19827586206896552, ""score"": -0.3571723959299475}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.44105388222103725, ""p_observed"": 0.7205269411105187, ""prior_probability"": 0.8017241379310345, ""score"": 0.44105388222103725}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": -0.3571723959299475, ""p_observed"": 0.3214138020350264, ""prior_probability"": 0.19827586206896552, ""score"": -3.8881477414153043}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.44105388222103725, ""p_observed"": 0.7205269411105187, ""prior_probability"": 0.8017241379310345, ""score"": -0.8765356419519363}}"
9,Female,White,gender=Female,<=50K,"{""age"": ""18"", ""workclass"": ""Private"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""20"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9574641458842439, ""p_observed"": 0.978732072942122, ""prior_probability"": 0.3531869020347662, ""score"": 0.978732072942122}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.907980475441069, ""p_observed"": 0.9539902377205344, ""prior_probability"": 0.6468130979652338, ""score"": 0.9539902377205344}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9574641458842439, ""p_observed"": 0.978732072942122, ""prior_probability"": 0.3531869020347662, ""score"": 0.9574641458842439}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.907980475441069, ""p_observed"": 0.9539902377205344, ""prior_probability"": 0.6468130979652338, ""score"": 0.907980475441069}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.9574641458842439, ""p_observed"": 0.978732072942122, ""prior_probability"": 0.3531869020347662, ""score"": -1.0837525908940708}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.907980475441069, ""p_observed"": 0.9539902377205344, ""prior_probability"": 0.6468130979652338, ""score"": -0.5299015822412542}}"
10,Male,White,gender=Male,<=50K,"{""age"": ""27"", ""workclass"": ""Private"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.917475587486382, ""p_observed"": 0.958737793743191, ""prior_probability"": 0.3531869020347662, ""score"": 0.958737793743191}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.826030873098181, ""p_observed"": 0.9130154365490905, ""prior_probability"": 0.6468130979652338, ""score"": 0.9130154365490905}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.917475587486382, ""p_observed"": 0.958737793743191, ""prior_probability"": 0.3531869020347662, ""score"": 0.917475587486382}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.826030873098181, ""p_observed"": 0.9130154365490905, ""prior_probability"": 0.6468130979652338, ""score"": 0.826030873098181}}","{""gender=Female"": {""alpha"": 2.0, ""margin"": 0.917475587486382, ""p_observed"": 0.958737793743191, ""prior_probability"": 0.3531869020347662, ""score"": -1.1250332102666063}, ""gender=Male"": {""alpha"": 2.0, ""margin"": 0.826030873098181, ""p_observed"": 0.9130154365490905, ""prior_probability"": 0.6468130979652338, ""score"": -0.6177028831308649}}"
