sample_index,true_gender,true_race,true_secret,true_income,known_features,prior_baseline_prediction,conditional_prior_prediction,lomia_label_only_prediction,targeted_lomia_prediction,fredrikson_confidence_map_prediction,csmia_confidence_prediction,bayes_calibrated_confidence_map_prediction,is_targeted_group,targeted_group_key,query_count,score_query_count,candidate_label_outputs,fredrikson_confidence_outputs,csmia_confidence_outputs,bayes_calibrated_confidence_outputs
0,Male,White,gender=Male,<=50K,"{""age"": ""22"", ""workclass"": ""Private"", ""fnlwgt"": ""106843"", ""education"": ""10th"", ""educational-num"": ""6"", ""marital-status"": ""Never-married"", ""occupation"": ""Craft-repair"", ""relationship"": ""Other-relative"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""30"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | Other-relative | Never-married | 10th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9801647775819448, ""p_observed"": 0.9900823887909725, ""prior_probability"": 0.2, ""score"": 0.9900823887909725}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9767120206771477, ""p_observed"": 0.9883560103385738, ""prior_probability"": 0.8, ""score"": 0.9883560103385738}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9801647775819448, ""p_observed"": 0.9900823887909725, ""prior_probability"": 0.2, ""score"": 0.9801647775819448}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9767120206771477, ""p_observed"": 0.9883560103385738, ""prior_probability"": 0.8, ""score"": 0.9767120206771477}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.9801647775819448, ""p_observed"": 0.9900823887909725, ""prior_probability"": 0.2, ""score"": -1.6094379124341003}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9767120206771477, ""p_observed"": 0.9883560103385738, ""prior_probability"": 0.8, ""score"": -0.2231435513142097}}"
1,Male,White,gender=Male,<=50K,"{""age"": ""73"", ""workclass"": ""Private"", ""fnlwgt"": ""301210"", ""education"": ""1st-4th"", ""educational-num"": ""2"", ""marital-status"": ""Married-civ-spouse"", ""occupation"": ""Transport-moving"", ""relationship"": ""Husband"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""1735"", ""hours-per-week"": ""20"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,<=50K | Husband | Married-civ-spouse | 1st-4th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.6323549982779884, ""p_observed"": 0.8161774991389941, ""prior_probability"": 0.14285714285714285, ""score"": 0.8161774991389941}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6548123627254478, ""p_observed"": 0.8274061813627238, ""prior_probability"": 0.8571428571428571, ""score"": 0.8274061813627238}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.6323549982779884, ""p_observed"": 0.8161774991389941, ""prior_probability"": 0.14285714285714285, ""score"": 0.6323549982779884}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.6548123627254478, ""p_observed"": 0.8274061813627238, ""prior_probability"": 0.8571428571428571, ""score"": 0.6548123627254478}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.6323549982779884, ""p_observed"": 0.8161774991389941, ""prior_probability"": 0.14285714285714285, ""score"": -1.9459101490553135}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.6548123627254478, ""p_observed"": 0.8274061813627238, ""prior_probability"": 0.8571428571428571, ""score"": -0.15415067982725836}}"
2,Female,White,gender=Female,<=50K,"{""age"": ""20"", ""workclass"": ""Self-emp-not-inc"", ""fnlwgt"": ""105997"", ""education"": ""Some-college"", ""educational-num"": ""10"", ""marital-status"": ""Never-married"", ""occupation"": ""Sales"", ""relationship"": ""Not-in-family"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""25"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | Not-in-family | Never-married | Some-college | Self-emp-not-inc,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9708920614971271, ""p_observed"": 0.9854460307485635, ""prior_probability"": 0.4296875, ""score"": 0.9854460307485635}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9629344676560927, ""p_observed"": 0.9814672338280461, ""prior_probability"": 0.5703125, ""score"": 0.9814672338280461}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9708920614971271, ""p_observed"": 0.9854460307485635, ""prior_probability"": 0.4296875, ""score"": 0.9708920614971271}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9629344676560927, ""p_observed"": 0.9814672338280461, ""prior_probability"": 0.5703125, ""score"": 0.9629344676560927}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.9708920614971271, ""p_observed"": 0.9854460307485635, ""prior_probability"": 0.4296875, ""score"": -0.8446970786871463}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9629344676560927, ""p_observed"": 0.9814672338280461, ""prior_probability"": 0.5703125, ""score"": -0.561570822771226}}"
3,Male,White,gender=Male,<=50K,"{""age"": ""41"", ""workclass"": ""Private"", ""fnlwgt"": ""238355"", ""education"": ""5th-6th"", ""educational-num"": ""3"", ""marital-status"": ""Married-civ-spouse"", ""occupation"": ""Farming-fishing"", ""relationship"": ""Husband"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""Mexico""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,<=50K | Husband | Married-civ-spouse | 5th-6th | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.7390570773074642, ""p_observed"": 0.8695285386537321, ""prior_probability"": 0.06666666666666667, ""score"": 0.8695285386537321}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7489985282382954, ""p_observed"": 0.8744992641191478, ""prior_probability"": 0.9333333333333333, ""score"": 0.8744992641191478}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.7390570773074642, ""p_observed"": 0.8695285386537321, ""prior_probability"": 0.06666666666666667, ""score"": 0.7390570773074642}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.7489985282382954, ""p_observed"": 0.8744992641191478, ""prior_probability"": 0.9333333333333333, ""score"": 0.7489985282382954}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.7390570773074642, ""p_observed"": 0.8695285386537321, ""prior_probability"": 0.06666666666666667, ""score"": -2.70805020110221}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.7489985282382954, ""p_observed"": 0.8744992641191478, ""prior_probability"": 0.9333333333333333, ""score"": -0.06899287148695143}}"
4,Male,White,gender=Male,<=50K,"{""age"": ""42"", ""workclass"": ""Private"", ""fnlwgt"": ""117319"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Married-civ-spouse"", ""occupation"": ""Craft-repair"", ""relationship"": ""Husband"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""1672"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Female,gender=Female,gender=Male,0,<=50K | Husband | Married-civ-spouse | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.45993041142604374, ""p_observed"": 0.7299652057130217, ""prior_probability"": 0.001364256480218281, ""score"": 0.7299652057130217}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.42009453177525646, ""p_observed"": 0.7100472658876281, ""prior_probability"": 0.9986357435197817, ""score"": 0.7100472658876281}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.45993041142604374, ""p_observed"": 0.7299652057130217, ""prior_probability"": 0.001364256480218281, ""score"": 0.45993041142604374}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.42009453177525646, ""p_observed"": 0.7100472658876281, ""prior_probability"": 0.9986357435197817, ""score"": 0.42009453177525646}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.45993041142604374, ""p_observed"": 0.7299652057130217, ""prior_probability"": 0.001364256480218281, ""score"": -6.597145701886651}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.42009453177525646, ""p_observed"": 0.7100472658876281, ""prior_probability"": 0.9986357435197817, ""score"": -0.00136518792533997}}"
5,Male,White,gender=Male,>50K,"{""age"": ""61"", ""workclass"": ""Self-emp-inc"", ""fnlwgt"": ""84409"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Married-civ-spouse"", ""occupation"": ""Exec-managerial"", ""relationship"": ""Husband"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""35"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,>50K | Husband | Married-civ-spouse | HS-grad | Self-emp-inc,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.3127969606600317, ""p_observed"": 0.3436015196699841, ""prior_probability"": 0.0049504950495049506, ""score"": 0.3436015196699841}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.2004494766956999, ""p_observed"": 0.39977526165214994, ""prior_probability"": 0.995049504950495, ""score"": 0.39977526165214994}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": -0.3127969606600317, ""p_observed"": 0.3436015196699841, ""prior_probability"": 0.0049504950495049506, ""score"": -0.3127969606600317}, ""gender=Male"": {""alpha"": 1.0, ""margin"": -0.2004494766956999, ""p_observed"": 0.39977526165214994, ""prior_probability"": 0.995049504950495, ""score"": -0.2004494766956999}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": -0.3127969606600317, ""p_observed"": 0.3436015196699841, ""prior_probability"": 0.0049504950495049506, ""score"": -5.308267697401205}, ""gender=Male"": {""alpha"": 0.0, ""margin"": -0.2004494766956999, ""p_observed"": 0.39977526165214994, ""prior_probability"": 0.995049504950495, ""score"": -0.004962789342129014}}"
6,Male,White,gender=Male,<=50K,"{""age"": ""49"", ""workclass"": ""Local-gov"", ""fnlwgt"": ""229337"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Separated"", ""occupation"": ""Other-service"", ""relationship"": ""Not-in-family"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Female,gender=Female,,gender=Female,gender=Female,gender=Female,0,<=50K | Not-in-family | Separated | HS-grad | Local-gov,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9540283146109826, ""p_observed"": 0.9770141573054911, ""prior_probability"": 0.8275862068965517, ""score"": 0.9770141573054911}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9011701082209659, ""p_observed"": 0.9505850541104828, ""prior_probability"": 0.1724137931034483, ""score"": 0.9505850541104828}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9540283146109826, ""p_observed"": 0.9770141573054911, ""prior_probability"": 0.8275862068965517, ""score"": 0.9540283146109826}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9011701082209659, ""p_observed"": 0.9505850541104828, ""prior_probability"": 0.1724137931034483, ""score"": 0.9011701082209659}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.9540283146109826, ""p_observed"": 0.9770141573054911, ""prior_probability"": 0.8275862068965517, ""score"": -0.18924199963852842}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9011701082209659, ""p_observed"": 0.9505850541104828, ""prior_probability"": 0.1724137931034483, ""score"": -1.7578579175523736}}"
7,Female,White,gender=Female,<=50K,"{""age"": ""45"", ""workclass"": ""Local-gov"", ""fnlwgt"": ""251786"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Never-married"", ""occupation"": ""Adm-clerical"", ""relationship"": ""Not-in-family"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""37"", ""native-country"": ""United-States""}",gender=Male,gender=Female,gender=Female,,gender=Female,gender=Female,gender=Female,0,<=50K | Not-in-family | Never-married | HS-grad | Local-gov,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.951556059825445, ""p_observed"": 0.9757780299127223, ""prior_probability"": 0.6936416184971098, ""score"": 0.9757780299127223}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9298227678144286, ""p_observed"": 0.9649113839072141, ""prior_probability"": 0.3063583815028902, ""score"": 0.9649113839072141}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.951556059825445, ""p_observed"": 0.9757780299127223, ""prior_probability"": 0.6936416184971098, ""score"": 0.951556059825445}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9298227678144286, ""p_observed"": 0.9649113839072141, ""prior_probability"": 0.3063583815028902, ""score"": 0.9298227678144286}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.951556059825445, ""p_observed"": 0.9757780299127223, ""prior_probability"": 0.6936416184971098, ""score"": -0.365799851715733}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9298227678144286, ""p_observed"": 0.9649113839072141, ""prior_probability"": 0.3063583815028902, ""score"": -1.182999680945657}}"
8,Male,White,gender=Male,>50K,"{""age"": ""51"", ""workclass"": ""Private"", ""fnlwgt"": ""175070"", ""education"": ""Assoc-acdm"", ""educational-num"": ""12"", ""marital-status"": ""Married-civ-spouse"", ""occupation"": ""Sales"", ""relationship"": ""Husband"", ""race"": ""White"", ""capital-gain"": ""5178"", ""capital-loss"": ""0"", ""hours-per-week"": ""45"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,,gender=Male,gender=Male,gender=Male,0,>50K | Husband | Married-civ-spouse | Assoc-acdm | Private,2,2,"{""gender=Female"": "">50K"", ""gender=Male"": "">50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.32499223398895327, ""p_observed"": 0.6624961169944766, ""prior_probability"": 0.027777777777777776, ""score"": 0.6624961169944766}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.593053897663909, ""p_observed"": 0.7965269488319545, ""prior_probability"": 0.9722222222222222, ""score"": 0.7965269488319545}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.32499223398895327, ""p_observed"": 0.6624961169944766, ""prior_probability"": 0.027777777777777776, ""score"": 0.32499223398895327}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.593053897663909, ""p_observed"": 0.7965269488319545, ""prior_probability"": 0.9722222222222222, ""score"": 0.593053897663909}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.32499223398895327, ""p_observed"": 0.6624961169944766, ""prior_probability"": 0.027777777777777776, ""score"": -3.58351893845611}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.593053897663909, ""p_observed"": 0.7965269488319545, ""prior_probability"": 0.9722222222222222, ""score"": -0.028170876966696335}}"
9,Female,White,gender=Female,<=50K,"{""age"": ""18"", ""workclass"": ""Private"", ""fnlwgt"": ""126021"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Never-married"", ""occupation"": ""Craft-repair"", ""relationship"": ""Own-child"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""20"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,1,<=50K | Own-child | Never-married | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9912400476542258, ""p_observed"": 0.9956200238271128, ""prior_probability"": 0.0547945205479452, ""score"": 0.9956200238271128}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9923118626547851, ""p_observed"": 0.9961559313273923, ""prior_probability"": 0.9452054794520548, ""score"": 0.9961559313273923}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9912400476542258, ""p_observed"": 0.9956200238271128, ""prior_probability"": 0.0547945205479452, ""score"": 0.9912400476542258}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9923118626547851, ""p_observed"": 0.9961559313273923, ""prior_probability"": 0.9452054794520548, ""score"": 0.9923118626547851}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.9912400476542258, ""p_observed"": 0.9956200238271128, ""prior_probability"": 0.0547945205479452, ""score"": -2.9041650800285006}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9923118626547851, ""p_observed"": 0.9961559313273923, ""prior_probability"": 0.9452054794520548, ""score"": -0.056352936551131744}}"
10,Male,White,gender=Male,<=50K,"{""age"": ""27"", ""workclass"": ""Private"", ""fnlwgt"": ""152951"", ""education"": ""HS-grad"", ""educational-num"": ""9"", ""marital-status"": ""Never-married"", ""occupation"": ""Machine-op-inspct"", ""relationship"": ""Own-child"", ""race"": ""White"", ""capital-gain"": ""0"", ""capital-loss"": ""0"", ""hours-per-week"": ""40"", ""native-country"": ""United-States""}",gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,gender=Male,1,<=50K | Own-child | Never-married | HS-grad | Private,2,2,"{""gender=Female"": ""<=50K"", ""gender=Male"": ""<=50K""}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9885302826812948, ""p_observed"": 0.9942651413406474, ""prior_probability"": 0.24299065420560748, ""score"": 0.9942651413406474}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9889469215126501, ""p_observed"": 0.9944734607563248, ""prior_probability"": 0.7570093457943925, ""score"": 0.9944734607563248}}","{""gender=Female"": {""alpha"": 1.0, ""margin"": 0.9885302826812948, ""p_observed"": 0.9942651413406474, ""prior_probability"": 0.24299065420560748, ""score"": 0.9885302826812948}, ""gender=Male"": {""alpha"": 1.0, ""margin"": 0.9889469215126501, ""p_observed"": 0.9944734607563248, ""prior_probability"": 0.7570093457943925, ""score"": 0.9889469215126501}}","{""gender=Female"": {""alpha"": 0.0, ""margin"": 0.9885302826812948, ""p_observed"": 0.9942651413406474, ""prior_probability"": 0.24299065420560748, ""score"": -1.414732296440424}, ""gender=Male"": {""alpha"": 0.0, ""margin"": 0.9889469215126501, ""p_observed"": 0.9944734607563248, ""prior_probability"": 0.7570093457943925, ""score"": -0.2783796797894674}}"
